Job Title,Job Listed,Company hire,Job Description
Python Developer,Listed sixteen days ago,Sirius Technology Melbourne part of Sirius People Pty Ltd,Melbourne CBD | 6 month daily rate contract | 6 months MINIMUM Commercial Python experience required| Work From Home | Large Organisation |
Python Developer,Listed sixteen days ago,Capgemini Australia Pty Ltd,"Design, develop and implement solutions to customers organisational problems"
Python Developer,Listed twenty one days ago,Sirius Technology Melbourne part of Sirius People Pty Ltd,Melbourne CBD | 6 month daily rate contract | 6 months MINIMUM Commercial Python experience required| Work From Home | Large Organisation |
Python Developer - Melbourne based - Remote / Flexible working,Listed fifteen days ago,Austcorp Executive,Senior Python Developer working with some of the biggest household names across the globe on a range of products..
Full Stack Developer (Python and NodeJS),Listed ten days ago,Dialog,Dialog IT is seeking a Python Developer to bring their expertise in Python and NodeJS to build applications that enhance performance and scalability.
Google App Engine / Python Developer,Listed twenty six days ago,Altitude Recruitment,Altitude is seeking an experienced Developer with Google App Engine & Python for a permanent position in Melbourne.
Full Stack Mid Level Developer (Python),Listed twenty one days ago,Campus,Experienced full stack developer with high level aptitude and experience with Python and Angular or React
Senior Developer - Python/AWS,Listed fifteen days ago,Aspirante,"Are you a Polyglot with strong Python, AWS, Lambda, TypeScript, Serverless Architecture skills. Growth Fintech business, work from home, great salary"
Backend Developer (Python / Django),Listed twenty nine days ago,Cognativ Pty Ltd,An amazing opportunity exists for a Backend developer to join our Melbourne CBD team building some cutting edge projects.
"Data Engineer - AWS, Python",Listed six days ago,FourQuarters Recruitment,Data Engineer required to build from scratch a Cloud-based data lake for well-known logistics brand.
Senior Software Engineer - C++/Python,Listed nine days ago,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,"Join a multi-year program, working alongside a large team in delivering enterprise level application builds."
Software Engineer,Listed thirteen hours ago,Leidos Australia Pty Ltd,We have several long term opportunities Software Engineers / Programmers at all career levels.
Golang Fullstack Developer - FinTech Platform Development,Listed fourteen days ago,Limelight People,Experienced Golang Developer Needed For Top FinTech  Business. Cross-platform Greenfield Development. Adv. Skills in JS Is Highly Recommended
Senior Bigdata Developer,Listed three days ago,Cognizant Technology Solutions Australia Pty Ltd,"Cognizant hiring a Bigdata developer who have experience in clean, transform, and analyze vast amounts of raw data from various systems using Spark"
Software Engineer,Listed three days ago,Osteon Medical,A fantastic opportunity to join a super talented and passionate team and help design and implement advanced systems and technologies
SOFTWARE ENGINEER (C++ BASH PYTHON GIT),Listed nine days ago,Dynamo Recruitment,SEEKING SOFTWARE ENGINEER WITH SKILLS IN C++ BASH PYTHON AND GIT FOR A 6-18 MONTH CONTRACT DUE TO START ASAP
Data Engineer,Listed two days ago,Paxus,Experienced Data Engineer required to work across various clients within banking and financial services.
Software Engineer – LoanIQ,Listed three hours ago,ANZ,Join ANZ as a Software Engineer – LoanIQ – Melbourne
Software Engineer,Listed eight days ago,Hays Information Technology,Recruiting Linux Based Software Engineer with development experience in C++/Python for a Federal Gov Client.
Senior Software Engineer | Data Engineer,Listed twenty one days ago,Shine Solutions,"Utilise and share your expertise in a range of AWS and GCP data engineering tools, as well as Apache Beam / Dataflow and Python at Shine today."
Big Data Engineer,Listed eighteen hours ago,Ambition,Opportunity for an experienced Data Engineer to join a high growth team working in AWS.
Full Stack Engineer,Listed fifteen days ago,The Hassett Group,Full Stack Engineer - Looking For A Great Problem Solver - Highly Collaborative Team - Exciting Tech Stack & Platform.
Senior Software Engineer,Listed seven days ago,CSIRO,Be responsible for developing commercial-quality applications using our frameworks in support of CSIRO and other Research & Development organisations.
Full Stack Software Engineer - Cyber Security Products - Remote Working,Listed nine days ago,Real Time Australia P/L,Full Stack - Cyber Security - Startup - Products - DevOps - Cloud - 70% Back-end - 30% Front-end - Remote - Java - .Net - Python - React.js - Node.js
Acurity Developer,Listed sixteen days ago,Davidson Technology,"Acurity developer for superannuation industry, multiple roles"
Senior Software Engineer,Listed twenty days ago,AMP Financial Services,Senior Software Engineer - Melbourne - AMP
DevOps/Cloudops Engineer,Listed nine days ago,Versent Pty Ltd,Versent is a rapidly growing and are looking to hire DevOps Engineer / Oracle DBA's to join our Managed Services team
Fullstack developer,Listed twenty four days ago,Robert Half Technology,Great opportunity working towards providing better education solutions using cutting edge technology.
Software Engineer,Listed twenty days ago,AMP Financial Services,Software Engineer - Melbourne
Software Engineer/Developer,Listed twenty days ago,BAE Systems,"Perform technology research and development software engineering activities. Richmond, Victoria location."
Software Engineer/ API Developer,Listed twenty days ago,Capgemini Australia Pty Ltd,"Play a key role in the design, installation, testing and maintenance of software systems."
Senior Scientific Software Engineer (DevOps),Listed twenty two days ago,HORNER Recruitment,As an inquisitive Software Engineer you will be working for a CURIOUS organisation that is working at the coal face of R&D  in Australia!
Senior Data Engineer,Listed twenty one days ago,Preacta Recruitment,Take ownership of a growing AWS data platform. Work for the greater good at the same time!
Data Science Engineer,Listed twenty one days ago,Peoplebank Australia VIC,Great opportunity for ASAP start contract.
Software Engineer (V&V) - Defence - 5 Months,Listed twenty three days ago,Kinexus,Apply today and start ASAP. Those with Defence experience are encouraged to apply.
Systems Software Engineer - Defence,Listed twenty six days ago,JobTech,Are you experienced Software Engineer with a current or previous NV1 Security Clearance? Permanent opportunity based in Melbourne CBD.
Java Developer / Software Engineer,Listed twenty eight days ago,sportsbet.com.au,"This Engineer role is a key position within Trading Solutions, responsible for designing and delivering Software Solutions"
Full Stack Developer,Listed seven days ago,Kogan.com,"As a Full Stack Developer, you will be responsible for helping to custom build and refine in-house software, services and apps."
"Android Developer - Java, Kotlin",Listed seven days ago,Kogan.com,We are looking for a passionate and knowledgeable Android App Developer to join our engineering team.
Sitecore Developer,Listed seven days ago,Alinta Energy,Bring your Sitecore development expertise and be part of a close knit and supportive team
Expression of interest - DevOps Engineer (AWS + Kubernetes),Listed two days ago,Ambition,Are you a passionate AWS and Kubernetes focuse Engineer who wants to grow their talents and achieve great things. Click 'Apply Now' to find out more
Senior Software Engineer (C++/Python),Listed eighteen hours ago,Finite IT Recruitment Solutions,Linux environment | Contract through to 2022 (Extensions) | C++/Bash/Python in the mix
Data Engineer (Snowflake),Listed sixteen days ago,Evolve Corporate Transformation,"Join a multi-year Data Transformation program at Design phase working with AWS, Snowflake and Power BI."
Software Team Lead | Embedded C |,Listed two hours ago,Robert Half,A fantastic opportunity for a highly-skilled Embedded C Team Lead to manage and mentor a close-knit team located in the inner suburbs of Melbourne
Lead React Developer,Listed nine days ago,Redwolf + Rosch,"Champion the front-end of a scaling, international start-up. Build innovative software that integrates with global commercial platforms (real-estate,"
Splunk Developer,Listed eight days ago,Dialog,Dialog requires a Splunk Developer to design and develop Splunk Apps and Dashboards for a large enterprise project.
Senior Software Engineer (C++/Python),Listed nine days ago,Finite IT Recruitment Solutions,Linux environment | Contract through to 2022 (Extensions) | C++/Bash/Python in the mix
Senior DevOps Engineer,Listed fourteen days ago,Contino,"The Engineering team at Contino is looking for Senior DevOps Engineers, as we continue to grow throughout the APAC region."
Java Software Engineer,Listed ten days ago,Robert Walters,A leading Financial Services firm is seeking a Java Engineer for one of its most high profile Front Office teams.
Software Engineer | C++ & Python |,Listed thirty days ago,Robert Half,Our client is looking for a talented Software Engineer to join a close-knit team to assess faults in existing systems
Java Developer,Listed two days ago,Beige Technologies,"We are a rapidly growing company in the Utilities and New Energy sectors, looking for an experienced Java developer to join the team."
Software Developer,Listed nine days ago,Sirius Technology Melbourne part of Sirius People Pty Ltd,"Software Developer  | Linux | C++
ASAP Start | Daily Rate Contract | 12 months 
Melbourne  | Government Sector"
Junior Developer,Listed six days ago,Trade View Investments,We are looking for a Junior Developer who would like to grow in the exciting world of financial markets and trading.
Health Information Applications Lead Developer,Listed thirteen days ago,Department of Justice and Community Safety,The Health Information Applications Lead Developer will deliver configuration changes and deliver solutions to support Justice Health.
Health Information Applications Lead Developer,Listed thirteen days ago,Department of Justice and Community Safety,The Health Information Applications Lead Developer will deliver configuration changes and deliver solutions to support Justice Health.
Senior Quantitative Analyst / Developer,Listed twenty two hours ago,Profusion PAC Pty Ltd,Investments Giant seeks a Senior Quantitative Analyst / Developer with excellent Wealth Management experience for 12 mth min contract. Apply now!
Senior Quantitative Analyst / Developer,Listed twenty two hours ago,Profusion PAC Pty Ltd,Investments Giant seeks a Senior Quantitative Analyst / Developer with excellent Wealth Management experience for 12 mth min contract. Apply now!
Performance Engineer,Listed one day ago,Peoplebank Australia VIC,Our client is part of Melbourne's largest enterprises and is seeking a Senior Performance Engineer. This is a permanent opportunity!
IT Systems (Analyst Programmer/Developer),Listed nineteen hours ago,Oriental Merchant Pty Ltd,IT Systems Engineer (Analyst Programmer/Developer)
SysOps Engineer,Listed fifteen days ago,Capgemini Australia Pty Ltd,Immediate Start
